0,1,2,3,4,5,6,7,8,9,10,11,12
교차로,37.5461477,127.105331,7시간 53분,7시간 53분,37.5466618,127.1061289,2시간 44분,3시간 5분,37.54663,127.10675,5시간 33분,6시간 00분
동일로,37.5455937,127.0659888,1시간 53분,2시간 11분,37.5456852,127.0660422,2시간 8분,3시간 37분,37.5456852,127.0660422,2시간 8분,3시간 37분
동일로26길,37.5455937,127.0659888,1시간 53분,2시간 11분,37.545567,127.0660686,1시간 46분,1시간 48분,37.5453519,127.0667118,0시간 59분,0시간 59분
동일로,37.547704,127.0671768,2시간 2분,2시간 2분,37.5477488,127.0672018,2시간 00분,2시간 00분,37.5477488,127.0672018,2시간 00분,2시간 00분
동일로30길,37.547704,127.0671768,2시간 2분,2시간 2분,37.5476803,127.0672799,1시간 24분,1시간 24분,37.5476284,127.067994,1시간 9분,1시간 9분
동일로,37.549618,127.0682889,2시간 34분,2시간 42분,37.5501372,127.0685767,2시간 35분,2시간 35분,37.5502401,127.0686337,2시간 48분,2시간 49분
동일로32길,37.549618,127.0682889,2시간 34분,2시간 42분,37.5495818,127.0683853,2시간 2분,2시간 2분,37.5494469,127.0687685,0시간 56분,1시간 8분
동일로,37.553056,127.0702078,3시간 42분,4시간 7분,37.5531665,127.0702709,4시간 31분,4시간 31분,37.5534064,127.0704079,2시간 24분,2시간 39분
동일로42길,37.553056,127.0702078,3시간 42분,4시간 7분,37.5529043,127.0704801,0시간 5분,0시간 5분,37.5520835,127.07093,1시간 59분,2시간 9분
강변북로,37.5420651,127.1050696,9시간 8분,9시간 8분,37.5400033,127.1024983,9시간 2분,9시간 2분,37.538201,127.1001839,6시간 35분,6시간 35분
자양번영로4길,37.5316065,127.0752045,3시간 9분,3시간 9분,37.5314716,127.0759258,1시간 23분,1시간 23분,37.5314716,127.0759258,1시간 23분,1시간 23분
자양번영로3길,37.5316065,127.0752045,3시간 9분,3시간 9분,37.5317376,127.0744774,1시간 44분,1시간 44분,37.5317376,127.0744774,1시간 44분,1시간 44분
자양번영로,37.5316065,127.0752045,3시간 9분,3시간 9분,37.532309,127.0754276,4시간 59분,4시간 59분,37.532309,127.0754276,4시간 59분,4시간 59분
자양번영로,37.5316065,127.0752045,3시간 9분,3시간 9분,37.531107,127.0750607,3시간 36분,3시간 36분,37.531107,127.0750607,3시간 36분,3시간 36분
자양번영로,37.532597,127.0755173,2시간 43분,2시간 43분,37.5331998,127.0756803,2시간 11분,2시간 11분,37.5331998,127.0756803,2시간 11분,2시간 11분
자양번영로,37.532597,127.0755173,2시간 43분,2시간 43분,37.532309,127.0754276,4시간 59분,4시간 59분,37.532309,127.0754276,4시간 59분,4시간 59분
뚝섬로,37.53431,127.09109,0시간 00분,0시간 00분,37.5340117,127.0900966,1시간 52분,1시간 52분,37.5340117,127.0900966,1시간 52분,1시간 52분
뚝섬로67길,37.53431,127.09109,0시간 00분,0시간 00분,37.5351906,127.0907255,3시간 38분,3시간 38분,37.5351906,127.0907255,3시간 38분,3시간 38분
뚝섬로,37.53431,127.09109,0시간 00분,0시간 00분,37.53445,127.09159,1시간 42분,1시간 42분,37.5344847,127.0917181,1시간 44분,1시간 44분
뚝섬로,37.5344847,127.0917181,1시간 44분,1시간 44분,37.53445,127.09159,1시간 42분,1시간 42분,37.53431,127.09109,0시간 00분,0시간 00분
구의강변로,37.5344847,127.0917181,1시간 44분,1시간 44분,37.5343676,127.0916973,1시간 53분,1시간 53분,37.5338736,127.0916212,2시간 28분,2시간 48분
뚝섬로,37.5344847,127.0917181,1시간 44분,1시간 44분,37.5344291,127.0925043,5시간 35분,5시간 35분,37.53441,127.09268,6시간 2분,6시간 2분
구의강변로,37.5344847,127.0917181,1시간 44분,1시간 44분,37.53522,127.09195,2시간 32분,3시간 3분,37.53552,127.09211,2시간 8분,2시간 23분
구의강변로3길,37.53552,127.09211,2시간 8분,2시간 23분,37.535693,127.0916754,0시간 35분,0시간 41분,37.535693,127.0916754,0시간 35분,0시간 41분
구의강변로,37.53552,127.09211,2시간 8분,2시간 23분,37.5367676,127.0928615,1시간 4분,1시간 58분,37.5367676,127.0928615,1시간 4분,1시간 58분
구의강변로,37.53552,127.09211,2시간 8분,2시간 23분,37.53491,127.09182,2시간 48분,2시간 48분,37.5344847,127.0917181,1시간 44분,1시간 44분
구의강변로,37.537641,127.0934284,2시간 40분,4시간 40분,37.5375657,127.093384,2시간 51분,4시간 51분,37.5375657,127.093384,2시간 51분,4시간 51분
구의강변로5길,37.537641,127.0934284,2시간 40분,4시간 40분,37.5377413,127.0933286,2시간 32분,2시간 32분,37.5384199,127.0926533,0시간 40분,0시간 40분
구의강변로,37.537641,127.0934284,2시간 40분,4시간 40분,37.5377201,127.0934744,2시간 12분,3시간 43분,37.5379226,127.0935921,1시간 13분,2시간 8분
구의강변로,37.5380704,127.0936773,1시간 22분,2시간 16분,37.5379226,127.0935921,1시간 13분,2시간 8분,37.5379226,127.0935921,1시간 13분,2시간 8분
광나루로54길,37.5380704,127.0936773,1시간 22분,2시간 16분,37.5380256,127.0937932,1시간 36분,2시간 37분,37.5376689,127.0947171,3시간 35분,6시간 7분
구의강변로,37.5380704,127.0936773,1시간 22분,2시간 16분,37.5384602,127.09384,0시간 42분,0시간 58분,37.5389714,127.0939848,2시간 34분,2시간 34분
구의강변로,37.5389714,127.0939848,2시간 34분,2시간 34분,37.5392579,127.0940609,2시간 51분,2시간 51분,37.5392579,127.0940609,2시간 51분,2시간 51분
아차산로62길,37.5389714,127.0939848,2시간 34분,2시간 34분,37.5389872,127.0938848,2시간 25분,2시간 25분,37.5390227,127.09366,1시간 14분,2시간 9분
구의강변로,37.5389714,127.0939848,2시간 34분,2시간 34분,37.5384602,127.09384,0시간 42분,0시간 58분,37.5380704,127.0936773,1시간 22분,2시간 16분
긴고랑로42길,37.558874,127.0930525,1시간 35분,1시간 35분,37.5586685,127.0930614,1시간 26분,1시간 26분,37.5586685,127.0930614,1시간 26분,1시간 26분
긴고랑로,37.558874,127.0930525,1시간 35분,1시간 35분,37.5587676,127.0925978,0시간 00분,0시간 00분,37.5587676,127.0925978,0시간 00분,0시간 00분
긴고랑로,37.558874,127.0930525,1시간 35분,1시간 35분,37.5589905,127.0938579,0시간 16분,0시간 16분,37.5591508,127.0940708,1시간 30분,1시간 30분
긴고랑로41길,37.5587676,127.0925978,0시간 00분,0시간 00분,37.5591859,127.0926917,2시간 36분,2시간 36분,37.5591859,127.0926917,2시간 36분,2시간 36분
긴고랑로,37.5587676,127.0925978,0시간 00분,0시간 00분,37.558874,127.0930525,1시간 35분,1시간 35분,37.558874,127.0930525,1시간 35분,1시간 35분
긴고랑로,37.5587676,127.0925978,0시간 00분,0시간 00분,37.5586318,127.0920396,0시간 11분,0시간 11분,37.5586107,127.0916167,1시간 20분,1시간 20분
영화사로3길,37.5586107,127.0916167,1시간 20분,1시간 20분,37.5582083,127.0915819,2시간 10분,3시간 25분,37.5582083,127.0915819,2시간 10분,3시간 25분
긴고랑로,37.5586107,127.0916167,1시간 20분,1시간 20분,37.5593524,127.0917397,1시간 30분,1시간 30분,37.5593524,127.0917397,1시간 30분,1시간 30분
긴고랑로,37.5586107,127.0916167,1시간 20분,1시간 20분,37.5588053,127.0907337,0시간 00분,0시간 00분,37.5588053,127.0907337,0시간 00분,0시간 00분
긴고랑로,37.5586107,127.0916167,1시간 20분,1시간 20분,37.5586318,127.0920396,0시간 11분,0시간 11분,37.5587676,127.0925978,0시간 00분,0시간 00분
긴고랑로39길,37.5588053,127.0907337,0시간 00분,0시간 00분,37.5594308,127.0910574,1시간 30분,1시간 30분,37.5594308,127.0910574,1시간 30분,1시간 30분
긴고랑로,37.5588053,127.0907337,0시간 00분,0시간 00분,37.5586107,127.0916167,1시간 20분,1시간 20분,37.5586107,127.0916167,1시간 20분,1시간 20분
긴고랑로,37.5588053,127.0907337,0시간 00분,0시간 00분,37.5589086,127.0903614,0시간 23분,0시간 23분,37.55897,127.09005,1시간 21분,1시간 21분
긴고랑로37길,37.55897,127.09005,1시간 21분,1시간 21분,37.5595356,127.09013,5시간 20분,6시간 12분,37.5595356,127.09013,5시간 20분,6시간 12분
긴고랑로38길,37.55897,127.09005,1시간 21분,1시간 21분,37.558642,127.0900477,0시간 36분,1시간 39분,37.558642,127.0900477,0시간 36분,1시간 39분
긴고랑로,37.55897,127.09005,1시간 21분,1시간 21분,37.55897,127.08958,0시간 00분,0시간 00분,37.5588036,127.0887816,0시간 7분,0시간 14분
긴고랑로,37.55897,127.09005,1시간 21분,1시간 21분,37.5589086,127.0903614,0시간 23분,0시간 23분,37.5588053,127.0907337,0시간 00분,0시간 00분
긴고랑로36길,37.5588036,127.0887816,0시간 7분,0시간 14분,37.5582277,127.0895702,1시간 13분,2시간 23분,37.5582277,127.0895702,1시간 13분,2시간 23분
긴고랑로,37.5588036,127.0887816,0시간 7분,0시간 14분,37.55885,127.08853,0시간 49분,1시간 18분,37.55885,127.08853,0시간 49분,1시간 18분
긴고랑로,37.5588036,127.0887816,0시간 7분,0시간 14분,37.55897,127.08958,0시간 00분,0시간 00분,37.55897,127.09005,1시간 21분,1시간 21분
긴고랑로35길,37.55885,127.08853,0시간 49분,1시간 19분,37.5596589,127.0883733,1시간 34분,1시간 34분,37.5596589,127.0883733,1시간 34분,1시간 34분
긴고랑로,37.55885,127.08853,0시간 49분,1시간 19분,37.5588036,127.0887816,0시간 7분,0시간 14분,37.5588036,127.0887816,0시간 7분,0시간 14분
긴고랑로,37.55885,127.08853,0시간 49분,1시간 18분,37.55891,127.08828,0시간 1분,0시간 1분,37.5590664,127.0880258,1시간 49분,1시간 49분
긴고랑로,37.5641996,127.0765167,6시간 23분,6시간 23분,37.5642375,127.0763978,6시간 31분,6시간 31분,37.5642375,127.0763978,6시간 31분,6시간 31분
긴고랑로,37.5641996,127.0765167,6시간 23분,6시간 23분,37.5640909,127.0769423,1시간 58분,1시간 58분,37.5640193,127.0772271,1시간 18분,1시간 47분
동일로,37.5641996,127.0765167,6시간 23분,6시간 23분,37.5643806,127.0766242,6시간 23분,6시간 23분,37.5648935,127.0769135,3시간 3분,5시간 11분
광나루로,37.54368,127.09318,6시간 10분,6시간 10분,37.5435594,127.0933075,2시간 29분,4시간 52분,37.5435594,127.0933075,2시간 29분,4시간 52분
