도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도
동일로68길,37.56187,127.07906,37.5619487,127.0788363,37.5621195,127.0783812
자양번영로,37.53441,127.07604,37.5348049,127.0761621,37.5348049,127.0761621
자양번영로,37.53441,127.07604,37.5338156,127.0758633,37.5338156,127.0758633
자양번영로8길,37.53441,127.07604,37.5343124,127.0766482,37.5343124,127.0766482
자양번영로,37.53699,127.0768,37.5373994,127.0769243,37.5373994,127.0769243
자양번영로,37.53699,127.0768,37.5369192,127.0767797,37.5369192,127.0767797
자양번영로12길,37.53699,127.0768,37.5368802,127.0772711,37.5368802,127.0772711
아차산로,37.541528,127.0970602,37.5413356,127.0965047,37.5413356,127.0965047
아차산로,37.541528,127.0970602,37.5416502,127.0973809,37.5416502,127.0973809
,37.541528,127.0970602,37.5416152,127.0958896,37.54187,127.0951875
아차산로69길,37.5419704,127.0983701,37.5428876,127.0984083,37.5438476,127.0985941
아차산로,37.5419704,127.0983701,37.5422848,127.0993027,37.5428312,127.1009237
아차산로,37.5419704,127.0983701,37.5418122,127.0978814,37.5416502,127.0973809
아차산로,37.5429604,127.1012901,37.5436477,127.1029583,37.544993,127.1042608
아차산로,37.5429604,127.1012901,37.5429042,127.1011309,37.5428312,127.1009237
아차산로70길,37.5429604,127.1012901,37.54254,127.10152,37.5423,127.10164
워커힐로,37.5426562,127.0942678,37.5426948,127.094317,37.5426948,127.094317
광나루로50길,37.5426562,127.0942678,37.5426065,127.0941907,37.5424171,127.093849
광나루로,37.5426562,127.0942678,37.5416784,127.0952171,37.5415727,127.0953382
워커힐로,37.54339,127.0964,37.54326,127.09533,37.5426948,127.094317
아차산로,37.54339,127.0964,37.5420034,127.0972113,37.5416502,127.0973809
워커힐로,37.54339,127.0964,37.54388,127.09711,37.5439809,127.0972081
천호대로140길,37.5439809,127.0972081,37.5438476,127.0985941,37.5438476,127.0985941
워커힐로,37.5439809,127.0972081,37.5447,127.09752,37.5455088,127.0977724
워커힐로,37.5439809,127.0972081,37.54353,127.09667,37.54339,127.0964
,37.5334048,127.0959047,37.5338913,127.0958558,37.5351526,127.097147
용마산로2길,37.5549264,127.0884101,37.5550052,127.0891945,37.5550052,127.0891945
용마산로,37.5549264,127.0884101,37.5562832,127.0881628,37.5562832,127.0881628
용마산로,37.5549264,127.0884101,37.5545276,127.0884808,37.5545276,127.0884808
용마산로,37.55941,127.08764,37.5596143,127.0876135,37.5596143,127.0876135
용마산로,37.55941,127.08764,37.5588309,127.0877371,37.5588309,127.0877371
긴고랑로,37.55941,127.08764,37.559508,127.087487,37.559747,127.0870334
긴고랑로,37.55941,127.08764,37.55915,127.08789,37.5590664,127.0880258
용마산로10길,37.56049,127.0875,37.5605295,127.0878603,37.5605295,127.0878603
,37.56049,127.0875,37.5604427,127.0870672,37.5604427,127.0870672
용마산로,37.56049,127.0875,37.5608302,127.0874415,37.5608302,127.0874415
용마산로,37.56049,127.0875,37.5596143,127.0876135,37.5596143,127.0876135
용마산로14길,37.56113,127.08739,37.5611983,127.088075,37.5611983,127.088075
