도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,거리
천호대로123길(4),37.5561485,127.0868109,37.5568182,127.0866921,37.5568182,127.0866921,1524
천호대로123길(5),37.5561485,127.0868109,37.5553133,127.0869577,37.555146,127.0868606,1561
천호대로123길(6),37.5568182,127.0866921,37.5561485,127.0868109,37.5561485,127.0868109,1528
천호대로123길(7),37.5568182,127.0866921,37.5575713,127.0865609,37.5575713,127.0865609,1501
천호대로125길(0),37.5576267,127.0871444,37.5562015,127.0873801,37.5562015,127.0873801,1518
천호대로125길(1),37.5549065,127.0874475,37.5559265,127.0874305,37.5562015,127.0873801,1548
천호대로125길(2),37.5549065,127.0874475,37.5544466,127.0871449,37.5543347,127.0870713,1580
천호대로125길(3),37.5562015,127.0873801,37.5576267,127.0871444,37.5576267,127.0871444,1502
천호대로125길(4),37.5562015,127.0873801,37.5551389,127.0875747,37.5549065,127.0874475,1552
천호대로125길(5),37.5543347,127.0870713,37.5544466,127.0871449,37.5549065,127.0874475,1580
천호대로113길(0),37.5572371,127.08304,37.5576922,127.0833051,37.5586086,127.0838391,1479
천호대로113길(1),37.5586086,127.0838391,37.5589886,127.0840433,37.5592498,127.0841837,1448
천호대로113길(2),37.5586086,127.0838391,37.5575466,127.0832203,37.5572371,127.08304,1480
천호대로113길(3),37.5599129,127.0846563,37.5594521,127.084309,37.5592498,127.0841837,1418
천호대로113길(4),37.5592498,127.0841837,37.5594521,127.084309,37.5599129,127.0846563,1418
천호대로113길(5),37.5592498,127.0841837,37.5589577,127.0840267,37.5586086,127.0838391,1448
천호대로113길(6),37.5592498,127.0841837,37.5590808,127.0844024,37.5588958,127.0846418,1448
천호대로113길(7),37.5588958,127.0846418,37.5590808,127.0844024,37.5592498,127.0841837,1448
천호대로115길(0),37.5569134,127.0838525,37.5564431,127.0835668,37.5564431,127.0835668,1503
천호대로115길(1),37.5569134,127.0838525,37.5570269,127.0845285,37.5569853,127.0853484,1502
천호대로115길(2),37.5564431,127.0835668,37.5559435,127.0832447,37.5558302,127.0831709,1508
천호대로115길(3),37.5569853,127.0853484,37.5570269,127.0845285,37.5569134,127.0838525,1502
영화사로7길(0),37.5556056,127.0923007,37.5565668,127.0919037,37.5565668,127.0919037,1454
영화사로7길(1),37.5574343,127.0935345,37.5582724,127.0944804,37.5582724,127.0944804,1322
영화사로7길(2),37.5574343,127.0935345,37.5571791,127.0932663,37.5570421,127.0929613,1385
영화사로7길(3),37.5569329,127.0927185,37.5570421,127.0929613,37.5570421,127.0929613,1402
영화사로7길(4),37.5569329,127.0927185,37.5565668,127.0919037,37.5565668,127.0919037,1425
영화사로7길(5),37.5569329,127.0927185,37.5564653,127.0930661,37.5564653,127.0930661,1408
영화사로7길(6),37.5564653,127.0930661,37.5569329,127.0927185,37.5569329,127.0927185,1408
영화사로7길(7),37.5570421,127.0929613,37.5569329,127.0927185,37.5569329,127.0927185,1402
영화사로7길(8),37.5570421,127.0929613,37.556507,127.0933544,37.556507,127.0933544,1397
영화사로7길(9),37.5570421,127.0929613,37.5571791,127.0932663,37.5574343,127.0935345,1385
영화사로7길(10),37.556507,127.0933544,37.5570421,127.0929613,37.5570421,127.0929613,1401
영화사로7길(11),37.5565668,127.0919037,37.5569329,127.0927185,37.5569329,127.0927185,1414
영화사로7길(12),37.5565668,127.0919037,37.5556056,127.0923007,37.5556056,127.0923007,1457
영화사로7길(13),37.5582724,127.0944804,37.5574343,127.0935345,37.5574343,127.0935345,1337
영화사로1길(0),37.5582277,127.0895702,37.55784,127.0891374,37.55784,127.0891374,1461
영화사로1길(1),37.5582277,127.0895702,37.558642,127.0900477,37.558642,127.0900477,1437
영화사로1길(2),37.55784,127.0891374,37.5582277,127.0895702,37.5582277,127.0895702,1449
영화사로1길(3),37.558642,127.0900477,37.5582277,127.0895702,37.5582277,127.0895702,1438
용마산로6길(0),37.5572576,127.0880004,37.5573322,127.0887924,37.5573322,127.0887924,1486
용마산로6길(1),37.5573322,127.0887924,37.5577614,127.0892485,37.5577614,127.0892485,1473
용마산로6길(2),37.5573322,127.0887924,37.5572576,127.0880004,37.5572576,127.0880004,1491
용마산로6길(3),37.5577614,127.0892485,37.5573322,127.0887924,37.5573322,127.0887924,1480
자양로53길(0),37.5573322,127.0887924,37.5566153,127.089807,37.5566153,127.089807,1487
자양로53길(1),37.5566153,127.089807,37.5559072,127.090805,37.5559072,127.090805,1490
자양로53길(2),37.5566153,127.089807,37.5573322,127.0887924,37.5573322,127.0887924,1485
자양로53길(3),37.5559072,127.090805,37.5551838,127.091829,37.5551838,127.091829,1486
자양로53길(4),37.5559072,127.090805,37.5566153,127.089807,37.5566153,127.089807,1487
자양로53길(5),37.5537757,127.0938219,37.554474,127.0928336,37.554474,127.0928336,1464
자양로53길(6),37.5551838,127.091829,37.554474,127.0928336,37.554474,127.0928336,1472
자양로53길(7),37.5551838,127.091829,37.5559072,127.090805,37.5559072,127.090805,1486
자양로53길(8),37.554474,127.0928336,37.5537757,127.0938219,37.5537757,127.0938219,1462
자양로53길(9),37.554474,127.0928336,37.5551838,127.091829,37.5551838,127.091829,1482
자양로43길(0),37.5573322,127.0887924,37.5563732,127.0889591,37.5563732,127.0889591,1497
자양로43길(1),37.5563732,127.0889591,37.5550052,127.0891945,37.5550052,127.0891945,1535
자양로43길(2),37.5563732,127.0889591,37.5573322,127.0887924,37.5573322,127.0887924,1490
자양로43길(3),37.5550052,127.0891945,37.5536919,127.0898116,37.5536919,127.0898116,1578
자양로43길(4),37.5550052,127.0891945,37.5563732,127.0889591,37.5563732,127.0889591,1528
자양로43길(5),37.5536919,127.0898116,37.5526002,127.0903194,37.5526002,127.0903194,1580
자양로43길(6),37.5536919,127.0898116,37.5550052,127.0891945,37.5550052,127.0891945,1572
자양로43길(7),37.5526002,127.0903194,37.5536919,127.0898116,37.5536919,127.0898116,1582
자양로43길(8),37.5526002,127.0903194,37.551606,127.0907819,37.551606,127.0907819,1591
자양로43길(9),37.5509536,127.0915548,37.5511317,127.0910025,37.551606,127.0907819,1609
