유치원명,주소,위도,경도
광진늘푸른단기보호센타,"서울특별시 광진구 뚝섬로 613, 6층 (자양동)",37.532704,127.0779507
자양방문요양센터,"서울특별시 광진구 아차산로 325-1, 2층 (자양동)",37.5378233,127.0791902
동서울어르신복지센터,서울특별시 광진구 아차산로53길 69 (구의동),37.5402546,127.0857981
구의노인복지센터,"서울특별시 광진구 자양로22길 62-7, 401호 (구의동)",37.5395515,127.0870166
행복노인복지센터,"서울특별시 광진구 자양로19길 16-1, 302호 (자양동,세종아트빌)",37.5392544,127.082231
두리케어,"서울특별시 광진구 뚝섬로59길 41, 1층 (자양동)",37.5337583,127.0834894
AAA+'광진효나눔센터,"서울특별시 광진구 면목로 132-1, 2층 (중곡동)",37.5651146,127.0810066
광진재가요양기관,서울특별시 광진구 자양로 165 (구의동),37.5423822,127.0838789
샬롬노인복지센터,"서울특별시 광진구 구의로 27, 101호 (구의동)",37.540427,127.0895035
(주)대안의료기,"서울특별시 광진구 광나루로 524, 2층 (구의동)",37.5447385,127.0876869
은혜노인복지센터,서울특별시 광진구 뚝섬로54길 39 (자양동),37.5298666,127.0802731
행복드림복지센터,"서울특별시 광진구 뚝섬로 618, 2층 (자양동)",37.5323025,127.0782622
한일재가방문요양센터,서울특별시 광진구 자양로26길 59 (구의동),37.5410335,127.0872453
참사랑 방문요양센터,"서울특별시 광진구 천호대로125길 46, 1층 101호 (중곡동, 삼환스위트홈)",37.5564223,127.0874725
워커힐실버타운,"서울특별시 광진구 워커힐로 93 (구의동,외 10필지)",37.5510878,127.0976313
(사)효사랑재가복지센터,"서울특별시 광진구 아차산로 229 (화양동, 한림타워 406호)",37.5408305,127.0690816
광진원광실버센터,서울특별시 광진구 아차산로63길 35 (구의동),37.5409837,127.0920373
AA+'가정방문요양센터,"서울특별시 광진구 뚝섬로 681, 2층 (자양동)",37.5324777,127.0850178
시티케어재가노인복지센터,"서울특별시 광진구 천호대로 666, 105호 (구의동, 그랜드파크 오피스텔)",37.5513776,127.0893773
실버밸리노인단기보호센터,"서울특별시 광진구 자양로 65, 2층 (자양동, 화성빌딩)",37.5336291,127.0843868
가족사랑 노인복지센터,"서울특별시 광진구 능동로50길 19, 1층 (중곡동)",37.5638885,127.0846051
성민노인복지센터,"서울특별시 광진구 자양로53길 37, 201호 (중곡동, 에이스빌라)",37.5548431,127.0920566
자양 우리동네 키움센터(다함께 돌봄센터),서울특별시 광진구 자양번영로 35 (자양동),37.532943,127.0752555
중곡지역아동센터,"서울특별시 광진구 자양로53길 69, 3층 (중곡동)",37.5557912,127.0908167
어린이나라지역아동센터,"서울특별시 광진구 자양로22길 58, 2층 (구의동)",37.5396623,127.0865263
새빛지역아동센터,서울특별시 광진구 아차산로 330 (자양동),37.537278,127.0794426
꿈 정함 우리동네 키움센터(다함께돌봄센터),서울특별시 광진구 자양로3가길 28 (자양동),37.528836,127.0847513
새날지역아동센터,"서울특별시 광진구 아차산로26길 22, 2층 (자양동)",37.5404797,127.0655658
경희지역아동센터,서울특별시 광진구 긴고랑로7길54 (중곡동),37.5657033,127.0804479
한사랑지역아동센터,"서울특별시 광진구 동일로 282, 302호 (군자동)",37.5563927,127.0723249
광진구3호점 우리동네키움센터,서울특별시 광진구 자양로 71-7 (자양동),37.5340924,127.0839187
광진구6호점 우리동네키움센터(중곡 정함),"서울특별시 광진구 능동로 338, 2층 (중곡동)",37.5595069,127.0810595
광진구4호점 우리동네키움센터,"서울특별시 광진구 아차산로66길 8, 3층 (광장동)",37.5410407,127.0970606
광진구5호점 우리동네키움센터,"서울특별시 광진구 능동로 347, 2층 (중곡동)",37.5604658,127.0810483
광진구7호점 우리동네키움센터,"서울특별시 광진구 구의강변로 79, 2층 (구의동)",37.5378514,127.0933702
광진구8호점 우리동네키움센터,"서울특별시 광진구 자양로 170, 2층 (구의동)",37.5428014,127.0846281
행복한지역아동센터,서울특별시 광진구 광나루로37길 43 (구의동),37.5466475,127.0888135
광진구9호점 우리동네키움센터,"서울특별시 광진구 천호대로 716, 별관1호 (구의동, 아차산 포레안)",37.547882,127.0933313
광진구10호점 우리동네키움센터,"서울특별시 광진구 능동로 400, 3층 (중곡동)",37.5650581,127.0844568
A＋가족사랑주식회사,"서울특별시 광진구 긴고랑로13길 7, 1층 (중곡동)",37.5629546,127.0817691
광진어르신돌봄센터,"서울특별시 광진구 자양번영로5길 27, 1층 (자양동)",37.532709,127.073994
아리아케어 방문요양 광진 구의센터,"서울특별시 광진구 긴고랑로30길 10, 103호 (중곡동)",37.5593155,127.0867486
가정어르신 재가복지센터,서울특별시 광진구 영화사로 29 (중곡동),37.5571069,127.0904416
