도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도,연속 일조량,총 일조량,경사도_점수(1-10점)
아차산로57길(3),37.5404611,127.0886353,37.5401753,127.0885565,37.5401753,127.0885565,1,1,0
아차산로57길(4),37.5401753,127.0885565,37.5404611,127.0886353,37.5404611,127.0886353,1,1,0
아차산로57길(5),37.5401753,127.0885565,37.5398811,127.0884729,37.5398811,127.0884729,1,1,0
아차산로57길(6),37.5394874,127.0883892,37.5398811,127.0884729,37.5398811,127.0884729,1,1,0
아차산로57길(7),37.5394874,127.0883892,37.5390925,127.0883052,37.5390925,127.0883052,1,1,0
아차산로57길(8),37.5390925,127.0883052,37.5394874,127.0883892,37.5394874,127.0883892,1,1,0
아차산로57길(9),37.5390925,127.0883052,37.5385437,127.0881885,37.5385437,127.0881885,0,0,0
광나루로52길(0),37.539193,127.0907986,37.539297,127.091526,37.539297,127.091526,1,2,5
광나루로52길(1),37.539193,127.0907986,37.5388146,127.0892775,37.5388146,127.0892775,2,2,4
광나루로52길(2),37.539297,127.091526,37.5397956,127.0923631,37.5397956,127.0923631,0,1,0
광나루로52길(3),37.539297,127.091526,37.539193,127.0907986,37.539193,127.0907986,2,2,5
광나루로52길(4),37.5400271,127.0927517,37.5408647,127.0941444,37.5408647,127.0941444,0,0,0
광나루로52길(5),37.5400271,127.0927517,37.5397956,127.0923631,37.5397956,127.0923631,0,1,0
광나루로52길(6),37.5408647,127.0941444,37.5400271,127.0927517,37.5400271,127.0927517,0,0,0
광나루로52길(7),37.5408647,127.0941444,37.5410372,127.0944313,37.5411875,127.0946812,0,0,0
광나루로52길(8),37.5413382,127.0949318,37.5411875,127.0946812,37.5411875,127.0946812,0,1,0
광나루로52길(9),37.5413382,127.0949318,37.5415347,127.0952586,37.5415727,127.0953382,3,4,0
광나루로52길(10),37.5388146,127.0892775,37.539193,127.0907986,37.539193,127.0907986,2,2,4
광나루로52길(11),37.5415727,127.0953382,37.5415347,127.0952586,37.5413382,127.0949318,3,4,0
광나루로52길(12),37.5397956,127.0923631,37.5400271,127.0927517,37.5400271,127.0927517,0,1,0
광나루로52길(13),37.5397956,127.0923631,37.539297,127.091526,37.539297,127.091526,0,1,0
아차산로61길(0),37.539297,127.091526,37.5396014,127.091458,37.540428,127.0916351,1,1,4
아차산로61길(1),37.539297,127.091526,37.5389212,127.0918992,37.538847,127.0919729,1,3,0
아차산로61길(2),37.538847,127.0919729,37.5389212,127.0918992,37.539297,127.091526,1,3,0
아차산로61길(3),37.540428,127.0916351,37.5409867,127.0917776,37.5413037,127.0917903,2,2,0
아차산로61길(4),37.540428,127.0916351,37.5393932,127.091467,37.539297,127.091526,0,1,4
아차산로61길(5),37.5413037,127.0917903,37.5409867,127.0917776,37.540428,127.0916351,2,2,0
자양로22길(0),37.5395148,127.0832298,37.5395286,127.083364,37.5395638,127.0838777,1,1,0
자양로22길(1),37.5395851,127.0841881,37.5396091,127.0845387,37.5396091,127.0845387,1,1,0
자양로22길(2),37.5395851,127.0841881,37.5395734,127.0840181,37.5395734,127.0840181,1,2,0
자양로22길(3),37.5396332,127.084892,37.5396886,127.08563,37.5396886,127.08563,0,0,0
자양로22길(4),37.5396332,127.084892,37.5396091,127.0845387,37.5396091,127.0845387,2,2,0
자양로22길(5),37.5397487,127.0864326,37.539814,127.0874395,37.539814,127.0874395,0,0,0
자양로22길(6),37.5397487,127.0864326,37.5396939,127.0857016,37.5396939,127.0857016,1,1,0
자양로22길(7),37.5398811,127.0884729,37.5398403,127.0878445,37.5398403,127.0878445,1,1,0
자양로22길(8),37.5396939,127.0857016,37.5397487,127.0864326,37.5397487,127.0864326,0,0,0
자양로22길(9),37.5396939,127.0857016,37.5396886,127.08563,37.5396886,127.08563,0,0,0
자양로22길(10),37.5395734,127.0840181,37.5395851,127.0841881,37.5395851,127.0841881,1,1,0
자양로22길(11),37.5395734,127.0840181,37.5395638,127.0838777,37.5395638,127.0838777,0,1,0
자양로22길(12),37.5395638,127.0838777,37.5395734,127.0840181,37.5395734,127.0840181,1,2,0
자양로22길(13),37.5395638,127.0838777,37.5395286,127.083364,37.5395148,127.0832298,1,1,0
자양로22길(14),37.540311,127.0875474,37.539814,127.0874395,37.539814,127.0874395,0,0,0
자양로22길(15),37.540311,127.0875474,37.5407561,127.0877749,37.5407561,127.0877749,1,1,0
자양로22길(16),37.539814,127.0874395,37.5398183,127.0875062,37.5398183,127.0875062,0,0,0
자양로22길(17),37.539814,127.0874395,37.5397487,127.0864326,37.5397487,127.0864326,0,0,0
자양로22길(18),37.539814,127.0874395,37.540311,127.0875474,37.540311,127.0875474,0,0,0
자양로22길(19),37.5398403,127.0878445,37.5398811,127.0884729,37.5398811,127.0884729,1,1,0
