,회사명,채용공고사항,링크,지역,경력,학력,월급
931,(주)코아아이티,코아아이티 서버엔지니어 채용합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49691109&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,충북 청주시 청원구,경력5년↑,고졸↑,정규직
932,(주)코아아이티,코아아이티 영업직 및 네트워크 엔지니어 채용합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49691260&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 중구,경력무관,고졸↑,정규직
933,세이지(주),Application Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49727226&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 2~10년,대졸↑,정규직
934,주식회사 몹티콘,스마트 교통 시스템 현장 세팅 엔지니어(인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49736498&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 구로구,경력무관,고졸↑,계약직·인턴직
935,세이지(주),백엔드 개발자: Backend Engineer (Senior),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49821145&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 4~10년,대졸↑,정규직
936,주식회사 프로티나,Software Engineer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49831886&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 구로구,경력 3~5년,대졸↑,정규직
937,(주)두다지,저작권 보호 서비스 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49834115&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 관악구,신입·경력,대졸↑,정규직
938,컴즈(주),"S/W QA & Test Engineer (베트남인, 베트남어 가능자) 인재 영입",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49836086&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 구로구,경력무관,초대졸↑,정규직
939,컴즈(주),자동화 / 성능 테스트 엔지니어 채용의 件,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49847039&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 구로구,경력 1~9년,초대졸↑,정규직
940,(주)엔에스티정보통신,시스템 프로그래밍 초급 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49850427&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울전체,경력 2~4년,학력무관,정규직
941,(주)엔에스티정보통신,S/W 고급 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49850430&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울전체,경력 7~10년,학력무관,정규직
