기업명,업력,기업형태,사원수,업종,사업내용,평균연봉,최저연봉,최고연봉,22년 대비 증감률,연봉신뢰도,매출액(2020),매출액(2021),매출액(2022),매출액(2023),영업이익(2020),영업이익(2021),영업이익(2022),영업이익(2023)
(주)테라시스,업력 14년차,중소기업,27명,방송장비 제조업,"통신기기,방송장비 제조","7,889","4,232","8,733",5.14,"매우
낮음","49억 1,972만원","48억 3,775만원","125억 5,562만원","206억 3,403만원","6억 3,443만원","5억 5,132만원",9억 516만원,"15억 4,877만원"
(주)테라시스,업력 14년차,중소기업,27명,방송장비 제조업,"통신기기,방송장비 제조","7,889","4,232","8,733",5.14,"매우
낮음","49억 1,972만원","48억 3,775만원","125억 5,562만원","206억 3,403만원","6억 3,443만원","5억 5,132만원",9억 516만원,"15억 4,877만원"
올제텍㈜,업력 25년차,중소기업,50명,그 외 기타 전자부품 제조업,임베디드시스템 제조/무역/부동산 임대,,,,,,"49억 1,972만원","48억 3,775만원","125억 5,562만원","206억 3,403만원","6억 3,443만원","5억 5,132만원",9억 516만원,"15억 4,877만원"
올제텍㈜,업력 25년차,중소기업,50명,그 외 기타 전자부품 제조업,임베디드시스템 제조/무역/부동산 임대,,,,,,"49억 1,972만원","48억 3,775만원","125억 5,562만원","206억 3,403만원","6억 3,443만원","5억 5,132만원",9억 516만원,"15억 4,877만원"
(주)에델테크,,,,,,,,,,,,,,,,,,
(주)시드코어,업력 18년차,중소기업,30명,컴퓨터 제조업,컴퓨터，컴퓨터기억장치，컴퓨터입출력장치，기타,"6,054","3,468","7,099",8.4,낮음,44억 745만원,"63억 9,605만원","53억 4,363만원","90억 7,166만원","10억 5,396만원","9억 6,929만원","11억 3,126만원","12억 6,064만원"
(주)시드코어,업력 18년차,중소기업,30명,컴퓨터 제조업,컴퓨터，컴퓨터기억장치，컴퓨터입출력장치，기타,"6,054","3,468","7,099",8.4,낮음,44억 745만원,"63억 9,605만원","53억 4,363만원","90억 7,166만원","10억 5,396만원","9억 6,929만원","11억 3,126만원","12억 6,064만원"
(주)시드코어,업력 18년차,중소기업,30명,컴퓨터 제조업,컴퓨터，컴퓨터기억장치，컴퓨터입출력장치，기타,"6,054","3,468","7,099",8.4,낮음,44억 745만원,"63억 9,605만원","53억 4,363만원","90억 7,166만원","10억 5,396만원","9억 6,929만원","11억 3,126만원","12억 6,064만원"
(주)에델테크,업력 19년차,스타트업,39명,기기용 자동측정 및 제어장치 제조업,"기기용 자동 측정 및 제어장치,정보통신기기,무역(전자기기),소프트웨어,정보통신기기,시스템,응용소프트웨어 개발 및 공급,전기ㆍ전자공학 연구개발업","7,861","4,223","8,952",19.63,"매우
낮음","59억 5,290만원","78억 2,210만원","76억 5,202만원","96억 9,976만원","5억 2,764만원","7억 1,626만원","3억 9,524만원","1억 5,385만원"
(주)글로벌코넷,업력 10년차,중소기업,6명,기타 무선 통신장비 제조업,기타 무선 통신장비 제조업,,,,,,"59억 5,290만원","78억 2,210만원","76억 5,202만원","96억 9,976만원","5억 2,764만원","7억 1,626만원","3억 9,524만원","1억 5,385만원"
(주)제이앤씨에이치알,업력 14년차,중소기업,,고용 알선업,"유료직업 소개,헤드 헌팅,인사,교육,경영 컨설팅",,,,,,"59억 5,290만원","78억 2,210만원","76억 5,202만원","96억 9,976만원","5억 2,764만원","7억 1,626만원","3억 9,524만원","1억 5,385만원"
대한시스텍주식회사,업력 17년차,중소기업,263명,무기 및 총포탄 제조업,"무기,총포탄,유압시스템,부품,자동공구교환기,전기전자제이시스템 제조/부동산 임대","5,500","3,160","6,817",5.81,높음,456억 43만원,"469억 8,981만원","494억 5,919만원","584억 5,965만원",18억 580만원,"16억 2,405만원","20억 3,271만원","26억 8,561만원"
브이엔에스,,중소기업,,반도체 제조용 기계 제조업,"자동화설비 제조,설계,정밀JIG개발",,,,,,456억 43만원,"469억 8,981만원","494억 5,919만원","584억 5,965만원",18억 580만원,"16억 2,405만원","20억 3,271만원","26억 8,561만원"
유한책임회사 아소테크,업력 9년차,중소기업,3명,유선 통신장비 제조업,유선 통신장비 제조업,"4,156","2,667","5,827",16.48,"매우
낮음","9,219만원",1억 950만원,"1억 8,196만원","3억 2,144만원","1,501만원","3,650만원","8,856만원",1억 860만원
